Группа;День недели;Дата;Время;Дисциплина;Вид нагрузки кафедры;Преподаватель;Аудитория
ПСИ-Б-04-Д-2024-1;Вт;03.12.2024;15.30 - 17.00;Информатика и основы информационно-коммуникационных технологий (2 подгруппа);Лабораторная работа;Бабинский Дмитрий Валерьевич;101
ПСИ-Б-04-Д-2024-2;Вт;03.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ПСИ-Б-04-Д-2024-2;Вт;03.12.2024;10.10 - 11.40;Традиционные ценности: основа российского общества;Лекция;Саболевский Илья Русланович;312
ПСИ-Б-04-Д-2024-2;Вт;03.12.2024;12.10 - 13.40;Безопасность жизнедеятельности;Лекция;Шлимаков Максим Сергеевич;312
ПСИ-Б-04-Д-2024-2;Вт;03.12.2024;13.50 - 15.20;Иностранный язык (2 подгруппа);Практическое занятие;Максименко Анна Маратовна;156
ПСИ-Б-04-Д-2024-2;Вт;03.12.2024;13.50 - 15.20;Иностранный язык (1 подгруппа);Практическое занятие;Бондарук Екатерина Михайловна;154
ПСИ-Б-04-Д-2024-2;Вт;03.12.2024;13.50 - 15.20;Иностранный язык (3 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;101
ПСИ-Б-04-Д-2024-2;Вт;03.12.2024;15.30 - 17.00;Информатика и основы информационно-коммуникационных технологий (2 подгруппа);Лабораторная работа;Бабинский Дмитрий Валерьевич;101
ПСИ-Б-04-Д-2024-2;Вт;03.12.2024;15.30 - 17.00;Информатика и основы информационно-коммуникационных технологий (2 подгруппа);Лабораторная работа;Бабинский Дмитрий Валерьевич;101
СРБ-Б-04-Д-2024-1;Вт;03.12.2024;10.10 - 11.40;Иностранный язык (1 подгруппа);Практическое занятие;Бондарук Екатерина Михайловна;154
СРБ-Б-04-Д-2024-1;Вт;03.12.2024;10.10 - 11.40;Иностранный язык (2 подгруппа);Практическое занятие;Ольшевская Екатерина Николаевна;309
СРБ-Б-04-Д-2024-1;Вт;03.12.2024;12.10 - 13.40;История России;Практическое занятие;Козик Любовь Антоновна;103
СРБ-Б-04-Д-2024-1;Вт;03.12.2024;13.50 - 15.20;История России;Практическое занятие;Козик Любовь Антоновна;103
СРБ-Б-04-Д-2024-1;Вт;03.12.2024;15.30 - 17.00;Физическая культура и спорт;Практическое занятие;Данилевич Наталья Валерьевна;103
СРБ-Б-04-Д-2024-1;Вт;03.12.2024;17.10 - 18.40;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Омелюсик Василий Андреевич;209
ЮСТ-Б-2-Д-2024-1;Вт;03.12.2024;08.30 - 10.00;Информатика и основы информационно-коммуникационных технологий (3 подгруппа);Лабораторная работа;Куган Светлана Фёдоровна;101
ЮСТ-Б-2-Д-2024-1;Вт;03.12.2024;10.10 - 11.40;Информатика и основы информационно-коммуникационных технологий (3 подгруппа);Лабораторная работа;Куган Светлана Фёдоровна;101
ЮСТ-Б-2-Д-2024-1;Вт;03.12.2024;12.10 - 13.40;Иностранный язык (2 подгруппа);Практическое занятие;Максименко Анна Маратовна;204
ЮСТ-Б-2-Д-2024-1;Вт;03.12.2024;12.10 - 13.40;Иностранный язык (1 подгруппа);Практическое занятие;Бондарук Екатерина Михайловна;154
ЮСТ-Б-2-Д-2024-1;Вт;03.12.2024;12.10 - 13.40;Иностранный язык (3 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;316
ЮСТ-Б-2-Д-2024-1;Вт;03.12.2024;13.50 - 15.20;Экономика;Лекция;Корнелюк Наталья Николаевна;312
ЮСТ-Б-2-Д-2024-1;Вт;03.12.2024;15.30 - 17.00;История России;Практическое занятие;Козик Любовь Антоновна;154
ЮСТ-Б-2-Д-2024-2;Вт;03.12.2024;08.30 - 10.00;Информатика и основы информационно-коммуникационных технологий (3 подгруппа);Лабораторная работа;Куган Светлана Фёдоровна;101
ЮСТ-Б-2-Д-2024-2;Вт;03.12.2024;10.10 - 11.40;Информатика и основы информационно-коммуникационных технологий (3 подгруппа);Лабораторная работа;Куган Светлана Фёдоровна;101
ЮСТ-Б-2-Д-2024-2;Вт;03.12.2024;12.10 - 13.40;Иностранный язык (2 подгруппа);Практическое занятие;Максименко Анна Маратовна;204
